name,size
XLK.CTXS,3843
XBI.CUE,75989
XBI.CUE,527
XBI.CVM,128270
XBI.CVM,7621
XRT.CVNA,53904
XRT.CVNA,3247811
XRT.CVNA,581078
XLV.CVS,960
XLV.CVS,966700
XLV.CVS,87624
XLE.CVX,11144
XLE.CVX,2154707
XLE.CVX,369303
XRT.CWH,746
XRT.CWH,221383
XRT.CWH,28954
XBI.CYTK,229080
XBI.CYTK,3403
XLY.CZR,1090
XLY.CZR,912983
XLY.CZR,36667
XLU.D,6
XLU.D,676208
XLU.D,14602
XLI.DAL,6544
XLI.DAL,3361359
XLI.DAL,738234
XRT.DASH,10988
XRT.DASH,1983540
XRT.DASH,134860
XRT.DBI,243
XRT.DBI,145261
XRT.DBI,4078
XBI.DCPH,121925
XBI.DCPH,2285
XLB.DD,609
XLB.DD,866837
XLB.DD,22071
XRT.DDS,526
XRT.DDS,57289
XRT.DDS,2180
XLI.DE,1807
XLI.DE,342685
XLI.DE,25174
XLF.DFS,191
XLF.DFS,472400
XLF.DFS,7594
XLY.DG,972
XLY.DG,324524
XLY.DG,49270
XLV.DGX,198744
XLV.DGX,2655
XLY.DHI,457
XLY.DHI,366372
XLY.DHI,15133
XLV.DHR,2810
XLV.DHR,524235
XLV.DHR,13963
XLC.DIS,12394
XLC.DIS,2174801
XLC.DIS,381569
XLC.DISH,3590
XLC.DISH,1013647
XLC.DISH,39698
XRT.DKS,3569
XRT.DKS,284917
XRT.DKS,26131
XLRE.DLR,1099
XLRE.DLR,353636
XLRE.DLR,15345
XLY.DLTR,1975
XLY.DLTR,590422
XLY.DLTR,24095
XBI.DMTK,2200
XBI.DMTK,803571
XBI.DMTK,26072
XBI.DNLI,98
XBI.DNLI,92537
XBI.DNLI,973
XLI.DOV,29
XLI.DOV,207953
XLI.DOV,3534
XLB.DOW,10217
XLB.DOW,1597255
XLB.DOW,143332
XLY.DPZ,311
XLY.DPZ,151196
XLY.DPZ,1729
XLRE.DRE,974858
XLRE.DRE,3850
XLY.DRI,19
XLY.DRI,220387
XLY.DRI,6445
XLU.DTE,208740
XLU.DTE,4484
XBI.DTIL,2030
XBI.DTIL,524549
XBI.DTIL,145141
XLU.DUK,613
XLU.DUK,560748
XLU.DUK,31244
XLV.DVA,199
XLV.DVA,564793
XLV.DVA,9128
XBI.DVAX,506241
XBI.DVAX,164188
XLE.DVN,22682
XLE.DVN,5644606
XLE.DVN,1459274
XLK.DXC,15
XLK.DXC,183222
XLK.DXC,11477
XLV.DXCM,4358
XLV.DXCM,899481
XLV.DXCM,66013
XLC.EA,631
XLC.EA,389999
XLC.EA,16074
XLY.EBAY,2637
XLY.EBAY,1116902
XLY.EBAY,28568
XBI.EBS,521
XBI.EBS,129263
XBI.EBS,11283
XLB.ECL,565
XLB.ECL,214086
XLB.ECL,16287
XLU.ED,223
XLU.ED,474084
XLU.ED,8903
XBI.EDIT,3161
XBI.EDIT,382000
XBI.EDIT,41121
XLI.EFX,226
XLI.EFX,209717
XLI.EFX,1353
XBI.EGRX,37843
XBI.EGRX,645
XLU.EIX,124
XLU.EIX,343470
XLU.EIX,12548
XLP.EL,1218
XLP.EL,458894
XLP.EL,17218
XLB.EMN,631
XLB.EMN,264394
XLB.EMN,8709
XLI.EMR,443
XLI.EMR,442936
XLI.EMR,11600
XLK.ENPH,32846
XLK.ENPH,1472016
XLK.ENPH,372942
XBI.ENTA,215
XBI.ENTA,136982
XBI.ENTA,5074
XLE.EOG,5674
XLE.EOG,1132984
